Name,Family,Max Thickness (%),x-Locationof Max Thickness (%),Camber (%),Data Sources,Cl max,Cl/Cd max,Cd @ Cl=0.1,Cd @ Cl=0.4,Cd @ Cl=0.6
GOE 401,Gottingen,7.1,28.2,4.9,JF XF,1.63,206,0.005,0.005,0.006
GOE 402,Gottingen,6.8,23.1,5.8,JF XF,1.69,184,0.032,0.005,0.006
GOE 403,Gottingen,6.7,26.5,4.3,JF XF,1.29,208,0.005,0.005,0.005
GOE 404,Gottingen,13.2,26.5,5,JF XF,2.13,153,0.007,0.007,0.007
GOE 405,Gottingen,11.1,30.1,6.5,JF XF,1.98,185,0.006,0.006,0.007
GOE 406,Gottingen,11.7,31.9,5.6,JF XF,1.94,194,0.005,0.007,0.007
GOE 407,Gottingen,9.5,31.9,4.8,JF XF,1.77,191,0.005,0.006,0.006
GOE 408,Gottingen,7.8,31.9,4.2,JF XF,1.54,183,0.005,0.006,0.006
GOE 409,Gottingen,12.8,35.8,0,JF XF,1.32,125,0.005,0.007,0.007
GOE 410,Gottingen,16.1,28.2,0,JF XF,1.56,120,0.005,0.006,0.006
GOE 411,Gottingen,13.3,33.8,0,JF XF,1.06,97,0.005,0.006,0.008
GOE 412,Gottingen,13.2,31.9,5.1,JF XF,1.92,119,0.009,0.009,0.009
GOE 413,Gottingen,16.4,26.5,4.7,JF XF,2.21,152,0.007,0.007,0.007
GOE 414,Gottingen,13.6,30.1,5.3,JF XF,1.78,148,0.009,0.008,0.008
GOE 415,Gottingen,8.5,23.1,3.7,JF XF,1.45,153,0.006,0.007,0.006
GOE 416A,Gottingen,11.7,30.1,1.3,JF XF,1.26,88,0.007,0.008,0.008
GOE 417,Gottingen,6,18.4,6.1,JF XF,1.73,193,0.034,0.013,0.005
GOE 417A (GEW. PLATTE),Gottingen,3.2,3.1,5.9,JF WT XF,1.51,190,0.032,0.026,0.003
GOE 418,Gottingen,12.7,21.5,5.1,JF XF,1.98,170,0.005,0.005,0.006
GOE 419,Gottingen,5.3,33.8,3.9,JF XF,1.18,191,0.005,0.005,0.004
GOE 420,Gottingen,18.7,30.1,4.3,JF XF,2.22,178,0.007,0.006,0.006
GOE 421,Gottingen,19,28.3,8.1,JF XF,2.62,152,0.01,0.009,0.008
GOE 422,Gottingen,17.1,30.1,6.5,JF XF,2.5,124,0.009,0.008,0.009
GOE 423,Gottingen,17,37.7,5.1,JF XF,2.05,140,0.007,0.008,0.008
GOE 424,Gottingen,20.2,33.9,4.8,JF XF,2.16,147,0.008,0.008,0.008
GOE 425,Gottingen,16.1,31.9,4.5,JF XF,1.93,166,0.007,0.007,0.007
GOE 426,Gottingen,13.6,30.1,4.6,JF XF,1.8,198,0.006,0.006,0.006
GOE 427,Gottingen,4.6,23.1,5.3,JF XF,1.45,164,0.004,0.004,0.005
GOE 428,Gottingen,8,24.8,5.2,JF XF,1.6,204,0.005,0.005,0.006
GOE 429,Gottingen,11.4,26.5,0.2,JF XF,1.26,77,0.007,0.009,0.009
GOE 430,Gottingen,13.4,28.3,4.8,JF XF,1.91,132,0.007,0.008,0.007
GOE 431,Gottingen,11.8,21.5,7.3,JF XF,2.13,206,0.01,0.004,0.005
GOE 432,Gottingen,7.7,21.5,4.3,JF XF,1.64,168,0.004,0.005,0.006
GOE 433,Gottingen,17.5,26.5,4.9,JF XF,2.27,145,0.008,0.008,0.008
GOE 434,Gottingen,22.8,26.5,5.2,JF XF,2.57,133,0.01,0.008,0.008
GOE 435,Gottingen,26.2,28.3,4.7,JF XF,2.63,126,0.009,0.009,0.009
GOE 436,Gottingen,11,28.2,3.8,JF XF,1.73,196,0.006,0.006,0.006
GOE 437,Gottingen,7.1,28.2,4.8,JF XF,1.46,208,0.004,0.005,0.005
GOE 438,Gottingen,11,28.2,3.8,JF XF,1.73,152,0.006,0.005,0.006
GOE 439,Gottingen,7.9,26.5,5.2,JF XF,1.61,184,0.005,0.005,0.005
GOE 440,Gottingen,15.4,26.5,9.7,JF XF,1.73,136,0.063,0.046,0.012
GOE 441,Gottingen,16.1,26.5,7.7,JF XF,2.49,158,0.014,0.009,0.01
GOE 442,Gottingen,7.7,21.5,4.3,JF XF,1.64,183,0.004,0.004,0.005
GOE 443,Gottingen,5.1,33.8,0,JF XF,0.68,106,0.004,0.005,0.078
GOE 444,Gottingen,5.6,33.8,0,JF XF,0.68,110,0.003,0.005,0.073
GOE 445,Gottingen,6.4,37.7,0,JF XF,0.74,112,0.004,0.005,0.084
GOE 446,Gottingen,12.9,31.9,6.3,JF XF,2.08,156,0.009,0.009,0.009
GOE 447,Gottingen,12.7,30.1,8,JF XF,2.24,156,0.033,0.009,0.008
GOE 448,Gottingen,12.9,31.9,10.5,JF XF,2.48,159,0.055,0.04,0.026
GOE 449,Gottingen,17,33.8,5.4,JF XF,2.25,187,0.006,0.006,0.006
GOE 450,Gottingen,8.9,31.9,5.2,JF XF,1.72,121,0.007,0.007,0.008
GOE 456,Gottingen,7.2,28.2,5.2,JF XF,1.44,175,0.005,0.005,0.004
GOE 457,Gottingen,7.9,21.5,4.2,JF XF,1.63,191,0.005,0.005,0.006
GOE 458,Gottingen,7.2,28.2,5.2,JF XF,1.44,185,0.005,0.004,0.004
GOE 459,Gottingen,12.7,33.8,0,JF XF,1.3,134,0.005,0.006,0.007
GOE 460,Gottingen,20.5,31.9,0,JF XF,1.81,105,0.007,0.007,0.007
GOE 462,Gottingen,11,10.8,13.5,JF XF,2.71,2212,0.049,0.033,0.028
GOE 464,Gottingen,7.8,7,10,JF XF,2.4,1160,0.039,0.029,0.021
GOE 474,Gottingen,7,30.1,2.9,JF XF,1.33,154,0.004,0.005,0.005
GOE 476,Gottingen,14.5,30.1,5.2,JF XF,2.12,146,0.006,0.005,0.005
GOE 477,Gottingen,10.1,28.2,4.9,JF XF,1.84,186,0.004,0.005,0.006
GOE 478,Gottingen,13.4,30.1,4.3,JF XF,2.01,172,0.006,0.006,0.006
GOE 479,Gottingen,11.6,30.1,4,JF XF,1.79,164,0.006,0.005,0.005
GOE 480,Gottingen,11.8,28.2,5.5,JF XF,2.01,206,0.005,0.005,0.006
GOE 481,Gottingen,13.6,9.7,8.8,JF XF,2.67,185,0.045,0.033,0.028
GOE 481A,Gottingen,15.3,26.5,5.5,JF XF,2.5,173,0.006,0.006,0.006
GOE 482,Gottingen,16.6,26.5,8.8,JF XF,2.52,205,0.008,0.006,0.006
GOE 483,Gottingen,5.5,15.6,5.9,JF XF,1.5,202,0.004,0.004,0.005
GOE 484,Gottingen,6.3,30.1,5,JF XF,1.58,158,0.005,0.005,0.005
GOE 488,Gottingen,6.8,19.9,3.1,JF XF,1.34,145,0.005,0.006,0.005
GOE 490,Gottingen,8.8,21.5,3.9,JF XF,1.52,180,0.006,0.005,0.006
GOE 491,Gottingen,4.9,24.8,2.9,JF XF,1.18,145,0.005,0.005,0.005
GOE 492,Gottingen,6.2,35.8,3.4,JF XF,1.14,149,0.004,0.004,0.006
GOE 493,Gottingen,15.1,33.8,3.4,JF XF,1.75,133,0.005,0.005,0.005
GOE 494,Gottingen,5,21.5,5.1,JF XF,1.34,206,0.004,0.003,0.004
GOE 495,Gottingen,6.9,26.5,5,JF XF,1.55,195,0.004,0.004,0.004
GOE 496,Gottingen,10,24.8,5,JF XF,1.8,167,0.006,0.006,0.006
GOE 497,Gottingen,12.8,26.5,5.3,JF XF,2,190,0.005,0.005,0.005
GOE 498,Gottingen,16,26.5,5.5,JF XF,2.19,170,0.005,0.005,0.005
GOE 499,Gottingen,6.8,26.5,5.9,JF XF,1.5,186,0.004,0.003,0.004
GOE 500,Gottingen,10,26.5,6,JF XF,1.86,210,0.005,0.004,0.005
GOE 501,Gottingen,12.9,26.5,6.3,JF XF,2.15,177,0.006,0.005,0.006
GOE 502,Gottingen,16,26.5,6.1,JF XF,2.34,196,0.006,0.006,0.006
GOE 503,Gottingen,15.6,28.2,7,JF XF,2.17,188,0.006,0.006,0.006
GOE 504,Gottingen,18,30.1,5.4,JF XF,2.04,182,0.007,0.006,0.008
GOE 505,Gottingen,14.1,23.1,5.9,JF XF,2.01,184,0.006,0.008,0.007
GOE 506,Gottingen,16.5,28.2,4.7,JF XF,2.01,164,0.007,0.007,0.007
GOE 507,Gottingen,8.6,30.1,2.9,JF XF,1.5,156,0.005,0.005,0.005
GOE 508,Gottingen,16.5,31.9,5.6,JF XF,2.25,187,0.007,0.006,0.006
GOE 509,Gottingen,11.2,24.8,5.2,JF XF,1.83,148,0.006,0.005,0.006
GOE 510,Gottingen,13.8,23.1,5.9,JF XF,2.04,165,0.006,0.006,0.007
GOE 511,Gottingen,16.7,23.1,8,JF XF,2.62,194,0.007,0.006,0.007
GOE 512,Gottingen,14,21.5,5.7,JF XF,2.1,164,0.006,0.006,0.006
GOE 513,Gottingen,16.8,24.8,5.3,JF XF,2.21,180,0.008,0.006,0.007
GOE 514,Gottingen,16.7,23.1,6.5,JF XF,2.28,173,0.007,0.007,0.007
GOE 515,Gottingen,8.4,30.1,2.8,JF XF,1.34,154,0.004,0.005,0.004
GOE 517,Gottingen,7,31.9,4.7,JF XF,1.63,204,0.004,0.004,0.005
GOE 518,Gottingen,18,30.1,7.3,JF XF,2.61,194,0.007,0.007,0.008
GOE 522,Gottingen,21.9,28.2,5.2,JF XF,2.58,168,0.008,0.007,0.006
GOE 523,Gottingen,16.6,26.5,9.7,JF XF,2.97,214,0.025,0.014,0.011
GOE 525,Gottingen,16.6,26.5,9.7,JF XF,2.97,214,0.025,0.014,0.011
GOE 526,Gottingen,12.3,28.2,4.1,JF XF,1.88,171,0.006,0.005,0.006
GOE 527,Gottingen,16.6,30.1,5.8,JF XF,2.27,189,0.006,0.006,0.006
GOE 528,Gottingen,12.5,28.2,6.2,JF XF,2.08,207,0.005,0.006,0.005
GOE 529,Gottingen,9.7,28.2,5.8,JF XF,1.8,209,0.005,0.005,0.005
GOE 530,Gottingen,12.9,28.2,5.1,JF XF,2,159,0.006,0.006,0.007
GOE 531,Gottingen,13.8,19.9,14.7,JF XF,3.03,223,0.067,0.046,0.037
