Name,Family,Max Thickness (%),x-Locationof Max Thickness (%),Camber (%),Data Sources,Cl max,Cl/Cd max,Cd @ Cl=0.1,Cd @ Cl=0.4,Cd @ Cl=0.6
63A108 MOD C,NASA,7.7,30.1,0.6,JF XF,1.04,68,0.012,0.012,0.013
A18,Uncategorized,7.3,30.1,3.2,JF WT XF,1.4,90,0.011,0.011,0.01
A18 (SMOOTHED),Uncategorized,7.3,26.5,3.8,JF XF,1.31,84,0.011,0.011,0.011
A6014-S,Ayers,6,30.1,1.4,JF XF,0.76,96,0.005,0.077,0.077
A6016-S,Ayers,6,30.1,1.6,JF XF,0.8,101,0.005,0.006,0.078
A6018-S,Ayers,6,31.9,1.8,JF XF,0.8,101,0.005,0.005,0.077
A6020-S,Ayers,6,31.9,2,JF XF,0.82,104,0.006,0.077,0.077
A6516-S,Ayers,6.5,30.1,1.6,JF XF,0.78,101,0.005,0.075,0.075
A6518-S,Ayers,6.5,31.9,1.8,JF XF,0.84,102,0.005,0.081,0.081
A6520-S,Ayers,6.6,31.9,2,JF XF,0.85,105,0.006,0.005,0.081
A6522-S,Ayers,6.5,31.9,2.1,JF XF,0.86,104,0.006,0.005,0.075
A7018-S,Ayers,7,30.1,1.8,JF XF,0.91,102,0.005,0.005,0.089
A7020-S,Ayers,7,31.9,1.9,JF XF,0.93,104,0.006,0.005,0.091
A7022-S,Ayers,7,31.9,2.2,JF XF,0.89,106,0.006,0.005,0.077
A7024-S,Ayers,7,31.9,2.4,JF XF,0.93,120,0.006,0.005,0.078
A7520-S,Ayers,7.5,30.1,2,JF XF,0.94,101,0.006,0.005,0.087
A7522-S,Ayers,7.5,31.9,2.2,JF XF,0.93,105,0.006,0.005,0.079
A7524-S,Ayers,7.6,31.9,2.3,JF XF,1.03,116,0.006,0.005,0.097
A7526-S,Ayers,7.5,31.9,2.6,JF XF,1.03,120,0.006,0.005,0.085
ABRIAL17,Uncategorized,10,24.8,3.2,JF XF,1.12,116,0.008,0.008,0.006
AG03 (FLAT AFT BOTTOM),Drela,6.2,24.7,2,JF XF,1.01,100,0.008,0.007,0.08
AG04,Drela,6.4,21.4,1.7,JF XF,0.96,93,0.008,0.007,0.079
AG08,Drela,5.8,21.4,1.8,JF XF,0.95,88,0.008,0.007,0.081
AG09,Drela,4.9,18.4,1.8,JF XF,0.92,83,0.009,0.007,0.077
AG10,Drela,4.7,15.6,1.6,JF XF,0.95,70,0.011,0.009,0.096
AG11,Drela,5.8,26.5,2.2,JF XF,1.15,94,0.009,0.008,0.008
AG12,Drela,6.2,21.4,1.8,JF XF,0.97,99,0.007,0.007,0.069
AG13,Drela,5.8,21.4,2,JF XF,0.97,100,0.007,0.007,0.075
AG14,Drela,5.4,19.9,2.1,JF XF,0.97,101,0.007,0.007,0.074
AG16,Drela,7.1,23.1,1.9,JF XF,0.99,101,0.007,0.007,0.059
AG17,Drela,6.5,21.4,2,JF XF,0.99,102,0.007,0.007,0.067
AG18,Drela,5.9,21.4,2.2,JF XF,0.99,103,0.007,0.007,0.072
AG19,Drela,5.4,19.9,2.3,JF XF,0.99,103,0.007,0.007,0.073
AG24,Drela,8.4,26.5,2.2,JF XF,1.11,103,0.007,0.007,0.007
AG25,Drela,7.6,24.7,2.4,JF XF,1.09,110,0.007,0.007,0.007
AG26,Drela,6.8,23.1,2.6,JF XF,1.09,108,0.007,0.007,0.008
AG27,Drela,6.1,21.4,2.7,JF XF,1.09,108,0.007,0.007,0.007
AG34,Drela,9.3,28.3,1.6,JF XF,1.28,94,0.009,0.009,0.009
AG34NORM,Drela,9.3,28.2,2.2,JF XF,1.09,94,0.009,0.009,0.009
AG35,Drela,8.7,28.3,1.5,JF XF,1.2,91,0.009,0.008,0.009
AG35-R,Drela,8.7,28.2,2.4,JF XF,1.2,91,0.009,0.009,0.009
AG3516,Drela,8.5,24.7,2.6,JF XF,1.24,101,0.008,0.009,0.009
AG36,Drela,8.2,26.5,1.5,JF XF,1.14,86,0.009,0.009,0.009
AG3617,Drela,7.9,24.7,2.6,JF XF,1.17,96,0.009,0.009,0.009
AG37,Drela,7.7,26.5,1.6,JF XF,1.19,78,0.01,0.01,0.01
AG3718,Drela,7.2,23.1,2.7,JF XF,1.23,88,0.01,0.009,0.01
AG38,Drela,7,28.3,1.6,JF XF,1.17,70,0.012,0.011,0.011
AG3819,Drela,6.3,21.5,2.8,JF XF,1.22,83,0.01,0.01,0.01
AG40D-02R,Drela,8,26.5,2.1,JF XF,1.08,104,0.007,0.007,0.007
AG44CT -02F,Drela,7.3,24.7,2,JF XF,1.09,112,0.007,0.006,0.006
AG455CT -02F ROT.,Drela,6.5,23.1,1.9,JF XF,1.04,103,0.007,0.006,0.095
AG455CT-02R,Drela,6.5,23.1,1.9,JF XF,1.04,103,0.007,0.006,0.095
AG45C -03F,Drela,6.9,23.1,2.6,JF XF,1.08,105,0.007,0.007,0.007
AG45CT -02F,Drela,6.9,23.1,1.9,JF XF,1.05,108,0.007,0.006,0.006
AG46C -03F,Drela,6,23.1,2.3,JF XF,1,100,0.007,0.006,0.101
AG46CT -02F ROT.,Drela,6.1,23.1,1.7,JF XF,1,101,0.007,0.006,0.092
AG47C -03F,Drela,5.1,23.1,2,JF XF,0.92,95,0.006,0.006,0.109
AG47CT -02F ROT.,Drela,5,21.4,1.3,JF XF,0.92,95,0.006,0.006,0.1
AH 63-K-127/24,Althaus,12.7,39.7,3.8,JF XF,1.4,219,0.006,0.005,0.005
AH 79-100 A,Althaus,10,28.2,3.6,JF XF,1.42,117,0.007,0.007,0.008
AH 79-100 B,Althaus,10,31.9,6.4,JF XF,1.8,189,0.027,0.005,0.006
AH 79-100 C,Althaus,9.9,31.9,6.7,JF XF,1.83,268,0.027,0.006,0.006
AH 79-K-132/20,Althaus,13.2,39.7,3.7,JF XF,1.31,142,0.006,0.006,0.006
AH 79-K-135/20 B,Althaus,13.5,39.7,3.1,JF XF,1.32,132,0.006,0.005,0.005
AH 79-K-143/18,Althaus,14.3,41.7,2.9,JF XF,1.37,197,0.005,0.004,0.004
AH 80-129,Althaus,12.9,41.7,4.1,JF XF,1.17,208,0.005,0.004,0.004
AH 80-136,Althaus,13.6,35.8,3.4,JF XF,1.22,131,0.006,0.006,0.006
AH 80-140,Althaus,14,30.1,4.4,JF XF,1.68,197,0.006,0.005,0.005
AH 81-131,Althaus,13.1,41.7,2.8,JF XF,1.03,105,0.005,0.005,0.006
AH 81-K-144 W-F KLAPPE,Althaus,22,17,1.1,JF XF,1.82,84,0.005,0.007,0.008
AH 81-K-144/17,Althaus,14.5,39.7,4.2,JF XF,1.46,208,0.005,0.004,0.004
AH 82-150 A,Althaus,15,41.7,3.3,JF XF,1.45,140,0.007,0.005,0.005
AH 82-150 F,Althaus,15,43.8,3.6,JF XF,1.35,156,0.006,0.004,0.004
AH 83-150 Q,Althaus,15,39.7,4.1,JF XF,1.67,291,0.006,0.006,0.005
AH 83-159,Althaus,16,41.7,3.8,JF XF,1.5,157,0.006,0.005,0.005
AH 85-L-120/17,Althaus,12.1,43.8,0,JF XF,0.88,99,0.004,0.005,0.102
AH 88-K-130/20,Althaus,13,43.8,3.9,JF XF,1.43,186,0.006,0.006,0.005
AH 88-K-136/16,Althaus,13.6,43.8,3,JF XF,1.24,118,0.005,0.005,0.006
AH 93-156,Althaus,15.7,39.7,3.8,JF XF,1.55,154,0.007,0.005,0.005
AH 93-157,Althaus,15.7,39.7,3.6,JF XF,1.6,168,0.007,0.005,0.005
AH 93-K-130/15,Althaus,13.1,41.7,3.6,JF XF,1.27,102,0.007,0.005,0.006
AH 93-K-131/15,Althaus,13.1,41.7,3.6,JF XF,1.28,109,0.005,0.004,0.006
AH 93-K-132/15,Althaus,13.2,41.7,3.5,JF XF,1.28,102,0.006,0.006,0.007
AH 93-W-145,Althaus,14.5,33.8,3.9,JF XF,1.63,128,0.009,0.008,0.008
AH 93-W-174,Althaus,17.4,33.8,3.9,JF XF,1.8,180,0.008,0.007,0.007
AH 93-W-215,Althaus,21.2,33.8,3.1,JF XF,2.06,173,0.007,0.007,0.006
AH 93-W-257,Althaus,25.7,32,1.8,JF XF,1.97,80,0.015,0.014,0.012
AH 93-W-300,Althaus,30,28.3,1.1,JF XF,2.02,44,0.021,0.019,0.02
AH 94-145,Althaus,14.6,37.7,5.5,JF XF,1.89,147,0.009,0.008,0.008
AH 94-156,Althaus,15.6,39.7,3.8,JF XF,1.53,169,0.006,0.005,0.005
AH 94-W-301,Althaus,30.1,30.2,1.1,JF XF,1.85,48,0.022,0.02,0.02
AH 95-160,Althaus,16,37.7,5.5,JF XF,1.98,151,0.009,0.009,0.008
AH-6-40-7,Althaus,6.9,19.9,5.5,JF XF,1.7,97,0.011,0.012,0.012
AH-7-47-6,Althaus,5.9,23.1,6.2,JF XF,1.8,94,0.048,0.038,0.036
AH21 7% VERSION,Uncategorized,9,35.8,2.3,JF XF,1.32,160,0.004,0.004,0.005
AH21 9% VERSION,Uncategorized,7,35.8,1.8,JF XF,1.07,120,0.004,0.005,0.006
AIR 100-2 ACRO MM 576 1999,Uncategorized,10,30.1,1.4,JF XF,1.16,109,0.006,0.006,0.007
AMES A-01,NASA,10.3,31.9,1.4,JF XF,1.27,77,0.015,0.013,0.013
AMES A-02,NASA,7.7,30.1,0.6,JF XF,1.04,69,0.012,0.012,0.013
AMES A-03,NASA,10,37.7,1.2,JF XF,1.17,72,0.012,0.013,0.014
AMI 43,Midic,8.2,24.7,3.7,JF XF,1.33,91,0.01,0.009,0.009
AMSOIL1 RUTAN CANARD,Uncategorized,11.6,39.7,2.1,JF XF,1.51,91,0.012,0.01,0.012
AMSOIL2 RUTAN WING,Uncategorized,11.8,39.7,1,JF XF,1.36,77,0.01,0.011,0.012
APEX 16,Uncategorized,12.9,37.7,2.7,JF XF,1.49,136,0.006,0.005,0.006
AQUILA 9.3% SMOOTHED,Uncategorized,9.4,30.1,4,JF WT XF,1.48,149,0.003,0.005,0.005
ARA-D 10%,Uncategorized,10,24.8,4,JF XF,1.86,73,0.019,0.019,0.02
ARA-D 13%,Uncategorized,13,24.8,3.6,JF XF,1.95,63,0.023,0.024,0.023
ARA-D 20%,Uncategorized,20,26.6,3.8,JF XF,2.24,47,0.032,0.032,0.032
ARA-D 6%,Uncategorized,6,19.9,5,JF XF,1.56,91,0.014,0.014,0.014
AS5045 (15%),Selig et. al.,15,37.7,1,JF WT XF,1.45,97,0.007,0.008,0.008
AS5046 (16%),Selig et. al.,16,37.7,1,JF XF,1.56,99,0.007,0.008,0.009
AS5048 (18%),Selig et. al.,18,39.7,1,JF WT XF,1.7,104,0.007,0.009,0.01
ATR72SM,Uncategorized,14.5,24.7,2.9,JF XF,1.74,148,0.007,0.006,0.007
AUGUST 160,Uncategorized,16,24.7,5.4,JF XF,1.91,237,0.008,0.007,0.007
AV-1.7-8,Uncategorized,7.9,24.7,1.7,JF XF,1.05,104,0.006,0.006,0.006
AVISTAR,Uncategorized,14.5,33.8,2.3,JF WT XF,1.43,78,0.011,0.009,0.01
AVX-NITRO,Uncategorized,7.4,23.1,2.6,JF XF,1.26,123,0.007,0.007,0.007
AVX-PLANEUR,Uncategorized,7.9,26.5,2.7,JF XF,1.21,113,0.007,0.007,0.007
AZ2002MID,Zutter,9,24.8,1.6,JF XF,1.04,53,0.016,0.016,0.016
AZ2002ROOT,Zutter,9,24.8,1.6,JF XF,1.01,51,0.016,0.016,0.015
AZ2002TIP,Zutter,9,23.1,1.6,JF XF,1.15,38,0.025,0.025,0.025
AZ2003MID,Zutter,8.5,24.7,1.5,JF XF,1.01,92,0.008,0.006,0.007
AZ2003ROOT,Zutter,8.5,24.7,1.7,JF XF,1.01,108,0.007,0.005,0.006
AZ2003TIP,Zutter,8,21.4,1.3,JF XF,1,93,0.008,0.007,0.007
AZ2004_9,Zutter,9,24.7,1.4,JF XF,0.99,115,0.006,0.005,0.006
AZ2005MID,Zutter,8.5,24.7,1.4,JF XF,0.96,113,0.006,0.005,0.075
AZ2005ROOT,Zutter,8,24.7,1.7,JF XF,0.92,112,0.006,0.005,0.06
AZ2005TIP,Zutter,8.8,24.7,1.3,JF XF,0.97,113,0.006,0.005,0.006
AZ2007_8_1.2_TIP,Zutter,8,26.5,1.2,JF XF,0.99,97,0.006,0.007,0.007
AZ2007_8_1.3_MID,Zutter,8,26.5,1.3,JF XF,1,98,0.007,0.006,0.007
AZ2007_8_1.4_ROOT,Zutter,8,26.5,1.4,JF XF,1,100,0.006,0.006,0.006
AZCOMBAT1,Zutter,10,26.5,1.8,JF XF,1.06,181,0.003,0.002,0.005
B-29 ROOT,Boeing,22,31.9,1.8,JF XF,1.93,132,0.007,0.006,0.007
B-29 TIP,Boeing,9,31.9,2.2,JF XF,1.11,139,0.004,0.004,0.004
BAMBINO 6,Uncategorized,12,37.7,3,JF XF,1.1,99,0.006,0.007,0.008
BC30,Uncategorized,6.3,21.5,2.7,JF XF,1.19,72,0.011,0.011,0.011
BC50,Uncategorized,7.2,23.1,2.6,JF XF,1.22,80,0.011,0.01,0.011
BC70,Uncategorized,7.9,24.7,2.5,JF XF,1.15,88,0.01,0.009,0.01
BE50 (ORIGINAL),Uncategorized,7.3,23.1,3.5,JF WT XF,1.44,117,0.007,0.008,0.008
BE50 (SMOOTHED),Uncategorized,7.3,21.5,4,JF XF,1.36,122,0.008,0.009,0.008
BE5030FVNC2,Egglestone,5,18.4,2.9,JF XF,0.82,69,0.011,0.01,0.016
BE5045FVNC2,Egglestone,5,18.4,4.4,JF XF,1,78,0.01,0.01,0.011
BE5655FVNC2,Egglestone,5.6,18.4,5.4,JF XF,1.26,85,0.035,0.012,0.012
BE6568 6.5% T/C 7.5% CAMBER SUITABLE FOR F1A TOWLINE GLIDER CATEGORY,Egglestone,6.5,17,6.5,JF XF,1.77,92,0.046,0.014,0.014
BE6699 (6.6% MAX T/C 9.9% MAX CAMBER) CLMAX 2.1 AT RE 100000 TRANSITION FREE,Egglestone,6.6,17,9.6,JF XF,2.2,94,0.072,0.054,0.047
BELL 540 (MODIFIED NACA 0012),Uncategorized,9.7,23.1,0,JF XF,1.1,72,0.01,0.008,0.011
BERGEY BW-3 (SMOOTHED),Uncategorized,5,7.8,5.6,JF WT XF,1.52,90,0.034,0.013,0.013
BOEING 103,Boeing,12.7,31.9,3.6,JF XF,1.86,119,0.007,0.007,0.007
BOEING 106,Boeing,13.1,31.9,3.3,JF XF,1.71,157,0.006,0.005,0.005
BOEING 707 .08 SPAN,Boeing,11.4,24.7,0.2,JF XF,1.07,87,0.007,0.008,0.008
BOEING 707 .19 SPAN,Boeing,12.2,31.9,0.7,JF XF,1.4,107,0.007,0.006,0.007
BOEING 707 .40 SPAN,Boeing,9.7,33.8,1.9,JF XF,1.15,115,0.019,0.028,0.012
BOEING 707 .54 SPAN,Boeing,9,41.7,1.7,JF XF,1.08,113,0.005,0.006,0.007
BOEING 707 .99 SPAN,Boeing,9,41.7,1.8,JF XF,1.01,101,0.006,0.008,0.008
BOEING 737 MIDSPAN,Boeing,10,37.7,1.4,JF XF,1.07,98,0.008,0.008,0.007
BOEING 737 MIDSPAN,Boeing,12.6,28.2,0.7,JF XF,1.54,114,0.007,0.007,0.008
BOEING 737 OUTBOARD,Boeing,10.8,39.7,1.6,JF XF,1.19,91,0.008,0.007,0.008
BOEING 737 ROOT,Boeing,15.4,19.9,0.2,JF XF,1.58,101,0.008,0.008,0.008
BOEING BACXXX,Boeing,11.3,35.8,1.4,JF XF,1.25,101,0.008,0.007,0.008
BOEING J,Boeing,10.1,39.7,1.7,JF XF,1.18,85,0.007,0.008,0.01
BOEING VERTOL V(1.95)3009-1.25,Boeing,9,30.1,1.3,JF XF,1.34,119,0.006,0.007,0.007
BOEING VERTOL V13006-.7,Boeing,6,30.1,0.9,JF XF,0.9,92,0.006,0.007,0.007
BOEING VERTOL V43012-1.58,Boeing,12,30.1,3.7,JF XF,1.69,146,0.006,0.007,0.007
BOEING VERTOL V43015-2.48,Boeing,15,30.1,3.7,JF XF,1.82,152,0.007,0.007,0.006
BOEING-VERTOL V23010-1.58,Boeing,10.2,28.2,1.8,JF XF,1.4,144,0.005,0.005,0.005
BOEING-VERTOL VR-1,Boeing,11,35.8,1.5,JF XF,1.3,207,0.003,0.005,0.006
BOEING-VERTOL VR-11X,Boeing,11,37.7,2.4,JF XF,1.45,86,0.009,0.008,0.008
BOEING-VERTOL VR-12,Boeing,10.6,33.8,2.3,JF XF,1.36,95,0.011,0.009,0.009
BOEING-VERTOL VR-13,Boeing,9.4,33.8,2,JF XF,1.26,100,0.01,0.008,0.008
BOEING-VERTOL VR-14,Boeing,8,33.8,1.7,JF XF,1.1,93,0.01,0.008,0.008
BOEING-VERTOL VR-15,Boeing,8,35.8,1.3,JF XF,1.07,93,0.008,0.008,0.009
BOEING-VERTOL VR-5,Boeing,12,35.8,3.4,JF XF,1.42,111,0.007,0.005,0.006
BOEING-VERTOL VR-7,Boeing,12,33.8,3.1,JF XF,1.5,172,0.006,0.005,0.005
BOEING-VERTOL VR-7 WITH TAB,Boeing,12,33.8,3.1,JF XF,1.45,70,0.011,0.01,0.011
BOEING-VERTOL VR-8,Boeing,8.1,33.8,1.3,JF XF,0.8,17,0.025,0.03,0.12
BOEING-VERTOL VR-8 WITH TAB,Boeing,8.2,34.2,1.3,JF XF,0.79,15,0.032,0.036,0.127
BOEING-VERTOL VR-9,Boeing,6.1,33.8,0.3,JF XF,0.56,14,0.026,0.082,0.082
BORGE-B3,Uncategorized,11.7,30.1,1.8,JF XF,1.31,132,0.005,0.005,0.006
CAL1215J,Uncategorized,11.7,30.1,2.2,JF XF,1.29,152,0.007,0.006,0.006
CAL2263M,Uncategorized,11.7,31.9,3.6,JF XF,1.57,204,0.006,0.006,0.006
CAL4014L,Uncategorized,10,26.5,2,JF XF,1.51,356,0.002,0.002,0.002
CAP 21,Uncategorized,15.6,15.6,0.6,JF XF,6.53,664,0.075,0.075,0.068
CAST 10-2/DOA 2,Uncategorized,12.2,43.8,1.5,JF XF,1.36,80,0.009,0.009,0.011
CB2012,Baron,12,30.1,2,JF XF,1.34,110,0.007,0.007,0.008
CB2195,Baron,9.5,33.8,2.1,JF XF,1.35,149,0.002,0.003,0.004
CB2195-25D,Baron,9.5,24.7,2,JF XF,1.26,108,0.007,0.006,0.007
CB2513,Baron,13,30.1,2.5,JF XF,1.47,128,0.007,0.007,0.008
CB2514,Baron,14,30.1,2.5,JF XF,1.54,141,0.007,0.007,0.008
CB2515,Baron,15,30.1,2.5,JF XF,1.62,161,0.007,0.007,0.008
CB3013,Baron,13,30.1,3,JF XF,1.52,129,0.007,0.007,0.008
CB3512,Baron,12,30.1,3.5,JF XF,1.51,131,0.007,0.007,0.007
CH10 (SMOOTHED),Uncategorized,12.8,31.9,10.2,JF XF,2.35,222,0.062,0.04,0.014
CHEN,Uncategorized,12.5,26.5,7.8,JF XF,1.82,159,0.028,0.008,0.008
CJ3209,Uncategorized,9.4,26.5,2,JF XF,1,126,0.006,0.004,0.005
CLARK K,Clark,11.7,30.1,3.3,JF XF,1.72,149,0.006,0.006,0.007
CLARK V,Clark,11.7,33.8,3.4,JF XF,1.66,131,0.006,0.006,0.006
CLARK W,Clark,11.3,26.5,3.8,JF XF,1.71,140,0.007,0.006,0.006
CLARK X,Clark,11.7,30.1,3.3,JF XF,1.6,127,0.007,0.006,0.006
CLARK Y,Clark,11.7,28.2,3.4,JF WT XF,1.53,127,0.008,0.009,0.009
CLARK YH,Clark,11.9,30.1,1.9,JF XF,1.47,107,0.006,0.007,0.008
CLARK YM-15,Clark,15,30.1,3.6,JF XF,1.94,144,0.007,0.008,0.008
CLARK YM-18,Clark,18,30.1,3.6,JF XF,2.17,141,0.008,0.008,0.008
CLARK YS,Clark,11.7,30.1,2.3,JF XF,1.35,117,0.005,0.005,0.005
CLARK Z,Clark,11.7,30.1,4.1,JF XF,1.83,150,0.007,0.007,0.007
CLARK-Y 11.7% SMOOTHED,Clark,11.7,30.1,3.5,JF XF,1.63,194,0.006,0.006,0.006
COANDA 1,Uncategorized,5.7,31.9,2.8,JF XF,1.11,138,0.005,0.006,0.006
COANDA 2,Uncategorized,6,26.5,2.6,JF XF,1.13,143,0.005,0.005,0.006
COANDA 3,Uncategorized,7,35.8,2.5,JF XF,1.2,160,0.005,0.006,0.006
CODY ROBERTSON CR 001 R/C HAND-LAUNCH LOW REYNOLDS NUMBER AIRFOIL (SMOOTHED),Uncategorized,7.3,26.5,4.1,JF WT XF,1.38,142,0.006,0.006,0.006
CRISTAL_CB85_15_7,Uncategorized,15.7,39.7,3.5,JF XF,1.56,158,0.005,0.005,0.004
CURTIS C-72,Uncategorized,11.7,28.3,2.4,JF XF,1.76,152,0.006,0.006,0.006
CURTIS CR-1,Uncategorized,12.2,24.7,4.7,JF XF,1.73,182,0.006,0.007,0.007
CYRANO II P-30,Uncategorized,7.1,33.8,2.1,JF XF,0.96,84,0.004,0.006,0.008
D.G.A. 1138,Uncategorized,6.9,35.8,2.1,JF XF,1.2,81,0.011,0.012,0.011
D6213-S,Ayers,6.2,26.5,1.3,JF XF,0.91,103,0.006,0.005,0.09
D6214-S,Ayers,6.2,26.5,1.4,JF XF,0.91,103,0.006,0.005,0.094
D6515-S,Ayers,6.6,26.5,1.5,JF XF,0.84,104,0.006,0.006,0.026
D6516-S,Ayers,6.5,26.5,1.6,JF XF,0.94,107,0.006,0.005,0.093
D7016-S,Ayers,7.1,26.5,1.6,JF XF,0.97,105,0.006,0.006,0.092
D7017-S,Ayers,7.1,28.2,1.7,JF XF,0.89,106,0.007,0.007,0.016
D7517-S,Ayers,7.5,26.5,1.7,JF XF,1.04,106,0.006,0.006,0.006
D7518-S,Ayers,7.6,26.5,1.8,JF XF,1.05,107,0.006,0.006,0.006
D8018-S,Ayers,8,26.5,1.8,JF XF,0.95,100,0.007,0.007,0.007
D8019-S,Ayers,8,26.5,1.9,JF XF,1.05,106,0.006,0.006,0.007
DA5206,Ayers,5.2,23.1,0.6,JF XF,0.64,80,0.006,0.014,0.014
DA5512,Ayers,5.5,23.1,1.2,JF XF,0.72,88,0.007,0.062,0.062
DA6016,Ayers,6,23.1,1.6,JF XF,0.91,96,0.007,0.007,0.058
DA6515,Ayers,6.5,23.1,1.5,JF XF,0.93,95,0.007,0.007,0.041
DA7017,Ayers,7,23.1,1.7,JF XF,1.13,120,0.007,0.006,0.006
DA7520,Ayers,7.5,23.1,2,JF XF,1.04,99,0.025,0.029,0.007
DA8000,Ayers,8,26.5,0,JF XF,0.82,87,0.006,0.007,0.095
DA8015,Ayers,8,23.1,1.5,JF XF,1.07,92,0.008,0.009,0.009
DA8024,Ayers,8,23.1,2.4,JF XF,1.16,97,0.008,0.026,0.009
DA8523,Ayers,8.5,23.1,2.3,JF XF,1.22,97,0.008,0.008,0.009
DA9021,Ayers,9,21.4,2.1,JF XF,1.15,96,0.008,0.013,0.009
DAE-11,Drela,12.8,33.8,6.6,JF XF,1.87,241,0.004,0.004,0.004
DAE-21,Drela,11.8,31.9,6.6,JF XF,1.96,264,0.003,0.004,0.004
DAE-31,Drela,11.1,30.1,6.8,JF XF,1.96,222,0.003,0.003,0.003
DAE-51,Drela,9.4,30.1,4,JF WT XF,1.48,116,0.007,0.007,0.007
DALE HOUSE DH4009 (SMOOTHED) USED ON THE STORM R/C AEROBATIC AIRCRAFT,Uncategorized,8.9,43.8,0.2,JF WT XF,0.8,83,0.005,0.007,0.084
DAVIS,Uncategorized,11.2,30.1,3.7,JF XF,1.58,172,0.006,0.006,0.006
DAVIS (SMOOTHED),Uncategorized,5.9,30.1,5.9,JF XF,1.5,73,0.045,0.016,0.016
DAVIS BASIC B-24 WING,Uncategorized,15.9,30.1,2.5,JF XF,1.55,141,0.006,0.006,0.006
DAYTON-WRIGHT 6,Uncategorized,13.6,28.3,4.1,JF XF,1.88,195,0.006,0.006,0.007
DAYTON-WRIGHT T-1,Uncategorized,13.5,26.5,3.1,JF XF,1.88,148,0.008,0.008,0.009
DD928416,Uncategorized,8.4,30.1,1.6,JF XF,1.02,155,0.004,0.004,0.004
DEES OKAY230,Uncategorized,17.1,37.7,3.9,JF XF,1.87,120,0.009,0.009,0.01
DEFIANT CANARD BL110,Uncategorized,14.7,30.1,3.8,JF XF,1.55,187,0.007,0.007,0.007
DEFIANT CANARD BL145,Uncategorized,11.5,28.2,2.4,JF XF,1.58,167,0.005,0.005,0.005
DEFIANT CANARD BL20,Uncategorized,20.9,28.2,4.5,JF XF,2.17,131,0.007,0.007,0.006
DF101,Uncategorized,11,28.2,2.3,JF WT XF,1.29,171,0.005,0.007,0.007
DF102,Uncategorized,11,28.2,2.4,JF WT XF,1.39,186,0.006,0.007,0.007
DF103,Uncategorized,11.2,28.2,2.2,JF WT XF,1.24,110,0.007,0.007,0.007
DFVLR R-4,Uncategorized,13.4,37.7,2.1,JF XF,1.48,80,0.01,0.009,0.012
DORMOY,Uncategorized,9,30.1,2.1,JF XF,1.24,121,0.005,0.006,0.006
DORNIER A-5,Uncategorized,16.2,41.7,2.6,JF XF,1.9,120,0.007,0.007,0.007
DOUGLAS LA203A,Uncategorized,15.7,35.8,5.5,JF XF,2.13,221,0.007,0.007,0.006
DP1.68/8.37_DS,Pflug,8.4,37.7,1.7,JF XF,0.86,104,0.005,0.005,0.078
DP1.72/8.16_DS,Pflug,8.2,37.7,1.7,JF XF,0.85,115,0.005,0.006,0.056
DP1.72/8.32_DS,Pflug,8.3,35.8,1.7,JF XF,0.94,104,0.005,0.006,0.067
DP1.77/8.23_DS,Pflug,8.2,37.7,1.8,JF XF,0.84,125,0.006,0.006,0.023
DP1.79/8.37_DS,Pflug,8.4,37.7,1.8,JF XF,0.92,114,0.005,0.006,0.055
DP1.82/8.21_DS,Pflug,8.2,39.7,1.8,JF XF,0.83,121,0.005,0.005,0.065
DP1.87/9.07_DS,Pflug,9.1,39.7,1.9,JF XF,0.82,101,0.005,0.005,0.06
DP1.89/7.83,Pflug,7.8,24.7,1.9,JF XF,1.12,170,0.004,0.004,0.004
DP2.00/8.55_DS,Pflug,8.6,39.7,2,JF XF,0.71,104,0.006,0.013,0.013
DP2.05/8.65_DS,Pflug,8.7,39.7,2,JF XF,0.89,107,0.005,0.005,0.058
DP2.06/8.67_DS,Pflug,8.7,39.7,2.1,JF XF,0.78,103,0.005,0.005,0.021
DP2.47/9.48_DS,Pflug,9.5,39.7,2.5,JF XF,0.88,119,0.006,0.005,0.019
DRAGONFLY CANARD,Uncategorized,19.3,37.7,6.6,JF XF,1.91,195,0.007,0.006,0.006
DS19,Uncategorized,8.5,28.2,1.9,JF XF,1.19,116,0.006,0.006,0.006
DS21,Uncategorized,8.6,28.2,1.8,JF XF,1.16,92,0.008,0.009,0.009
DSMA-523A,Uncategorized,11,35.8,2.3,JF XF,1.43,122,0.006,0.008,0.008
DSMA-523B,Uncategorized,11,35.8,2,JF XF,1.47,77,0.015,0.015,0.017
DU 86-084/18,Delft,8.5,35.8,1.2,JF WT XF,0.91,113,0.004,0.005,0.083
DU 86-137/25,Delft,13.7,39.7,0.2,JF XF,1.11,98,0.004,0.006,0.007
DU06-W-200_VAWT,Delft,19.8,30.1,0.5,JF XF,1.6,107,0.008,0.008,0.009
E. BAMBINO 7,Uncategorized,6,39.7,2.5,JF XF,1.04,77,0.012,0.011,0.011
EDGE_ROOT,Taylor,6.4,21.4,1.9,JF XF,1.03,89,0.009,0.009,0.009
EDGE_TIP,Taylor,4.9,15.6,1.2,JF XF,0.97,132,0.006,0.005,0.093
EH 0.0/9.0,Yost,9,30.1,0,JF XF,0.81,93,0.005,0.006,0.092
EH 1.0/7.0,Yost,7,30.1,1,JF XF,0.74,116,0.005,0.005,0.042
